State,City,PlaceFIPS,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PAPTEST,PHLTH,SLEEP,STROKE,TEETHLOST
NM,Rio Rancho,3563460,13.2,21.5,16.2,25.3,53.6,6.0,9.0,5.2,61.1,70.4,62.0,5.3,35.9,29.4,16.2,65.2,8.2,30.5,2.7,18.3,71.0,10.8,25.0,81.7,11.0,31.9,2.4,13.1
NM,Santa Fe,3570500,17.8,20.4,14.3,22.8,51.2,5.9,9.1,4.9,59.0,70.4,58.4,4.9,35.6,27.1,16.0,66.9,7.9,28.4,2.8,17.0,70.8,10.9,19.4,82.0,11.2,27.1,2.4,11.1
NY,Albany,3601000,14.8,25.7,15.5,33.4,62.4,5.8,10.9,6.0,73.8,78.2,62.4,7.1,31.7,28.6,19.0,60.6,10.9,33.8,2.2,26.1,76.6,13.2,31.1,80.8,13.1,39.7,3.3,16.5
NY,Buffalo,3611000,18.3,27.6,15.6,34.5,63.8,5.6,11.9,6.8,75.8,75.9,58.9,8.6,25.4,24.5,22.8,54.7,12.8,33.0,2.6,31.2,77.6,15.2,36.3,79.7,15.6,43.6,4.1,22.6
NY,Mount Vernon,3649121,16.4,24.5,14.2,37.5,63.8,5.4,11.4,5.7,74.2,79.7,62.4,6.4,25.8,28.4,18.0,56.4,12.5,33.4,2.5,28.0,79.9,13.2,33.5,83.2,13.1,46.7,3.7,17.5
NY,New Rochelle,3650617,14.9,21.6,16.8,30.7,59.3,5.6,9.5,5.2,70.4,79.1,65.2,5.3,30.6,32.9,14.4,64.9,9.3,33.8,2.1,23.3,79.1,11.1,26.7,83.8,10.9,39.9,2.6,13.1
NY,New York,3651000,18.3,22.4,15.5,30.7,59.0,5.3,10.2,5.6,74.3,77.0,62.2,6.0,28.6,26.3,16.8,61.3,11.2,34.1,2.3,28.8,77.9,12.6,26.3,80.7,13.1,41.0,3.1,15.9
NY,Rochester,3663000,20.3,26.9,14.3,38.0,65.0,5.7,12.2,6.9,70.4,76.6,59.1,8.6,26.6,28.1,22.8,55.1,13.3,32.8,2.6,30.1,77.5,15.6,38.6,79.2,16.0,42.4,4.2,22.7
NY,Schenectady,3665508,17.4,26.0,16.0,31.9,60.8,5.9,11.5,6.5,72.4,76.5,60.3,8.3,28.6,29.4,23.2,58.0,10.8,36.3,2.2,28.6,73.9,15.0,32.5,79.0,14.8,41.6,3.5,19.2
NY,Syracuse,3673000,19.1,27.2,14.8,33.3,62.3,5.9,12.1,7.0,72.6,75.0,60.4,9.1,28.5,25.6,24.1,54.9,11.8,36.0,2.4,30.7,75.1,15.8,33.7,77.8,16.0,39.7,4.0,21.0
